Sample Name	Tumor Input BAM Size	Tumor Input BAM Size (bytes)	Normal Input BAM Size	Normal Input BAM Size (bytes)	Work Directory Disk Usage	Work Directory Disk Usage (bytes)	Output Directory Disk Usage	Output Directory Disk Usage (bytes)
CCS15-ONT	67.75 GB	72749557288	94.21 GB	101151981618	1.55 TB	1700612830321	341.83 GB	367034487133
CCS15-ONT-TO	67.75 GB	72749557288	N/A	N/A	916.99 GB	984612784278	152.67 GB	163924644331
CCS15-PB	319.40 GB	342950181378	304.07 GB	326490562594	890.84 GB	956526936023	225.60 GB	242239211107
CCS15-PB-TO	319.40 GB	342950181378	N/A	N/A	604.83 GB	649432343153	116.14 GB	124708609493
COLO829-ONT	136.51 GB	146580411802	166.83 GB	179128434980	1.31 TB	1437453364246	416.02 GB	446694913185
COLO829-ONT-TO	136.51 GB	146580411802	N/A	N/A	836.68 GB	898376122472	187.61 GB	201448286292
COLO829-PB	62.55 GB	67161462204	57.10 GB	61306692113	425.28 GB	456646254702	191.09 GB	205178362420
COLO829-PB-TO	62.55 GB	67161462204	N/A	N/A	302.03 GB	324300094872	96.09 GB	103171430802
HG008-ONT	117.10 GB	125731454084	43.12 GB	46300412577	969.47 GB	1040965148287	261.70 GB	280996497405
HG008-ONT-TO	117.10 GB	125731454084	N/A	N/A	1007.17 GB	1081437765710	173.16 GB	185927655491
HG008-PB	60.03 GB	64454410401	50.70 GB	54438690555	345.27 GB	370735831141	119.86 GB	128699575957
HG008-PB-TO	60.03 GB	64454410401	N/A	N/A	281.61 GB	302376755689	66.42 GB	71319878121
